
Logfile opened on Sat Jun  6 23:58:34 2020
Sun Jun  7 05:57:32 2020: ^4Client k0_stha 112.134.29.51:51554 ^4left this server from slot 5 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 05:59:16 2020: ^4Client Alan walker 112.134.77.36:9166 ^4left this server from slot 3 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 06:00:45 2020: ^4Client =|LuV|=DADDY 156.203.224.165:28960 ^4left this server from slot 8 with guid 000000003979a2a268462c3b663a4545
Sun Jun  7 06:01:38 2020: ^5Client Uncle Fester 91.15.18.250:28960 ^5entered this server in slot 3 with guid f495a4ddce726bbfbcb942034d2e8a04
Sun Jun  7 06:02:38 2020: ^4Client shaRkzje 161.0.241.101:28724 ^4left this server from slot 1 with guid f9287ce964f8e6cb1b057f3445943ae3
Sun Jun  7 06:02:50 2020: ^5Client shaRkzje 161.0.241.101:28724 ^5entered this server in slot 1 with guid f9287ce964f8e6cb1b057f3445943ae3
Sun Jun  7 06:04:11 2020: ^5Client evolution 'Mole 190.213.193.180:28960 ^5entered this server in slot 4 with guid 0000000064b5ce67a970292110dcd2b2
Sun Jun  7 06:13:15 2020: ^4Client Uncle Fester 91.15.18.250:28960 ^4left this server from slot 3 with guid f495a4ddce726bbfbcb942034d2e8a04
Sun Jun  7 06:42:06 2020: ^5Client k0_stha 112.134.29.51:53336 ^5entered this server in slot 5 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 06:47:29 2020: ^5Client Yo Perreo Sola 190.148.157.142:53127 ^5entered this server in slot 6 with guid 00000000e6fc3587bbdba9c2bac67abc
Sun Jun  7 06:48:55 2020: ^5Client CID6 190.99.198.2:36368 ^5entered this server in slot 3 with guid 00000000aecf41c93183d905a90cae32
Sun Jun  7 06:53:29 2020: ^4Client CID6 190.99.198.2:36368 ^4left this server from slot 3 with guid 00000000aecf41c93183d905a90cae32
Sun Jun  7 06:55:45 2020: ^5Client Sesco 123.231.105.167:62238 ^5entered this server in slot 3 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 06:56:35 2020: ^4Client Sesco 123.231.105.167:62238 ^4left this server from slot 3 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 06:57:22 2020: ^4Client k0_stha 112.134.29.51:53336 ^4left this server from slot 5 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 06:57:30 2020: ^4Client shaRkzje 161.0.241.101:28724 ^4left this server from slot 1 with guid f9287ce964f8e6cb1b057f3445943ae3
Sun Jun  7 06:57:30 2020: ^4Client lay[z] 181.188.117.135:28960 ^4left this server from slot 2 with guid 000000003a57f9529248ce8c0f0124f7
Sun Jun  7 06:57:30 2020: ^4Client evolution 'Mole 190.213.193.180:28960 ^4left this server from slot 4 with guid 0000000064b5ce67a970292110dcd2b2
Sun Jun  7 06:57:30 2020: ^4Client Yo Perreo Sola 190.148.157.142:53127 ^4left this server from slot 6 with guid 00000000e6fc3587bbdba9c2bac67abc
Sun Jun  7 06:57:51 2020: ^5Client shaRkzje 161.0.241.101:28724 ^5entered this server in slot 2 with guid f9287ce964f8e6cb1b057f3445943ae3
Sun Jun  7 06:57:53 2020: ^5Client lay[z] 181.188.117.135:28960 ^5entered this server in slot 1 with guid 000000003a57f9529248ce8c0f0124f7
Sun Jun  7 07:29:40 2020: ^5Client cod4 85.73.209.205:28960 ^5entered this server in slot 3 with guid 1915d0e547cbb03c07d602f5891211be
Sun Jun  7 07:37:08 2020: ^5Client Lolipop. 39.41.250.55:28960 ^5entered this server in slot 4 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 07:40:49 2020: ^5Client Sesco 123.231.105.167:62239 ^5entered this server in slot 5 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 07:43:13 2020: ^4Client Sesco 123.231.105.167:62239 ^4left this server from slot 5 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 07:43:30 2020: ^4Client st6rmz 190.83.242.95:28960 ^4left this server from slot 5 with guid a3634ad4d82b97f5ce67c538afacfd92
Sun Jun  7 07:45:36 2020: ^5Client Sesco 123.231.105.167:62241 ^5entered this server in slot 5 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 07:51:18 2020: ^4Client Sesco 123.231.105.167:62241 ^4left this server from slot 5 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 07:51:50 2020: ^5Client Sesco 123.231.105.167:62241 ^5entered this server in slot 5 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 07:52:47 2020: ^4Client Lolipop. 39.41.250.55:28960 ^4left this server from slot 4 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 07:54:37 2020: ^4Client Sesco 123.231.105.167:62241 ^4left this server from slot 5 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 07:55:05 2020: ^5Client Sesco 123.231.105.167:62241 ^5entered this server in slot 5 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 07:57:40 2020: ^5Client Acromatic <3 112.135.35.20:18796 ^5entered this server in slot 4 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 08:08:23 2020: ^4Client Acromatic <3 112.135.35.20:18796 ^4left this server from slot 4 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 08:13:06 2020: ^4Client cod4 85.73.209.205:28960 ^4left this server from slot 3 with guid 1915d0e547cbb03c07d602f5891211be
Sun Jun  7 08:13:24 2020: ^5Client cod4 85.73.209.205:28960 ^5entered this server in slot 3 with guid 1915d0e547cbb03c07d602f5891211be
Sun Jun  7 08:13:34 2020: ^4Client Sesco 123.231.105.167:62241 ^4left this server from slot 5 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 08:13:46 2020: ^5Client Sesco 123.231.105.167:62241 ^5entered this server in slot 5 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 08:16:40 2020: ^4Client Sesco 123.231.105.167:62241 ^4left this server from slot 5 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 08:16:51 2020: ^5Client Sesco 123.231.105.167:62241 ^5entered this server in slot 5 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 08:19:07 2020: ^4Client cod4 85.73.209.205:28960 ^4left this server from slot 3 with guid 1915d0e547cbb03c07d602f5891211be
Sun Jun  7 08:19:52 2020: ^4Client lay[z] 181.188.117.135:28960 ^4left this server from slot 1 with guid 000000003a57f9529248ce8c0f0124f7
Sun Jun  7 08:24:21 2020: ^4Client Sesco 123.231.105.167:62241 ^4left this server from slot 5 with guid 00000000bc602a9c2e47ec89943a4e89
Sun Jun  7 08:45:10 2020: ^5Client k0_stha 112.134.29.51:53402 ^5entered this server in slot 1 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 08:45:18 2020: ^5Client Overlay 39.36.232.121:28960 ^5entered this server in slot 3 with guid 00000000958e09312032fe7bbd3c9f27
Sun Jun  7 08:48:48 2020: ^4Client Overlay 39.36.232.121:28960 ^4left this server from slot 3 with guid 00000000958e09312032fe7bbd3c9f27
Sun Jun  7 08:49:42 2020: ^4Client shaRkzje 161.0.241.101:28724 ^4left this server from slot 2 with guid f9287ce964f8e6cb1b057f3445943ae3
Sun Jun  7 08:50:09 2020: ^4Client HAPPY111 196.191.159.42:38665 ^4left this server from slot 4 with guid 00000000b34349347ab650f611c35667
Sun Jun  7 08:53:20 2020: ^5Client shaRkzje 161.0.241.101:28724 ^5entered this server in slot 2 with guid f9287ce964f8e6cb1b057f3445943ae3
Sun Jun  7 08:54:05 2020: ^4Client k0_stha 112.134.29.51:53402 ^4left this server from slot 1 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 08:54:29 2020: ^5Client FFS 39.36.232.121:28960 ^5entered this server in slot 3 with guid 00000000958e09312032fe7bbd3c9f27
Sun Jun  7 09:22:05 2020: ^4Client Hitman 182.191.193.17:28960 ^4left this server from slot 1 with guid 0000000046b1d170fcea01807b71cdda
Sun Jun  7 09:23:06 2020: ^5Client Lolipop. 39.41.172.77:28960 ^5entered this server in slot 1 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 09:31:03 2020: ^5Client Wizzy. 98.199.186.80:28960 ^5entered this server in slot 4 with guid 948b3e2d03c2298d586a1f7c6f0617c7
Sun Jun  7 09:31:46 2020: ^5Client cod4 85.73.209.205:28960 ^5entered this server in slot 6 with guid 1915d0e547cbb03c07d602f5891211be
Sun Jun  7 09:31:48 2020: ^5Client Acromatic <3 112.135.45.198:11294 ^5entered this server in slot 5 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 09:33:03 2020: ^5Client `DarkPrimE* 112.134.57.66:10456 ^5entered this server in slot 7 with guid 00000000c07ca3c0c9431eac7d21ffec
Sun Jun  7 09:33:37 2020: ^4Client `DarkPrimE* 112.134.57.66:10456 ^4left this server from slot 7 with guid 00000000c07ca3c0c9431eac7d21ffec
Sun Jun  7 09:33:37 2020: ^4Client Lolipop. 39.41.172.77:28960 ^4left this server from slot 1 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 09:35:53 2020: ^4Client Acromatic <3 112.135.45.198:11294 ^4left this server from slot 5 with guid 0000000026d3972828f323e89cb9e561
Sun Jun  7 09:38:05 2020: ^5Client Poola. 176.222.43.31:28960 ^5entered this server in slot 1 with guid 0000000046b1d170fcea01807b71cdda
Sun Jun  7 09:41:03 2020: ^5Client @1nspect 112.134.45.133:45262 ^5entered this server in slot 5 with guid 0000000046b4c0b6a21b4c076bcde767
Sun Jun  7 09:42:44 2020: ^4Client cod4 85.73.209.205:28960 ^4left this server from slot 6 with guid 1915d0e547cbb03c07d602f5891211be
Sun Jun  7 09:42:53 2020: ^5Client cod4 85.73.209.205:28960 ^5entered this server in slot 6 with guid 1915d0e547cbb03c07d602f5891211be
Sun Jun  7 09:42:54 2020: ^4Client Poola. 176.222.43.31:28960 ^4left this server from slot 1 with guid 0000000046b1d170fcea01807b71cdda
Sun Jun  7 09:44:24 2020: ^5Client Phenomenal 39.40.103.170:28960 ^5entered this server in slot 1 with guid 0000000046b1d170fcea01807b71cdda
Sun Jun  7 09:44:26 2020: ^4Client Phenomenal 39.40.103.170:28960 ^4left this server from slot 1 with guid 0000000046b1d170fcea01807b71cdda
Sun Jun  7 09:55:08 2020: ^5Client ^0Clix 150.107.177.129:28960 ^5entered this server in slot 1 with guid 00000000a184110c9b55af134d00dfdd
Sun Jun  7 09:56:18 2020: ^5Client Poola. 176.222.43.31:28960 ^5entered this server in slot 7 with guid 0000000046b1d170fcea01807b71cdda
Sun Jun  7 09:57:30 2020: ^5Client PahEz 82.203.189.47:34460 ^5entered this server in slot 8 with guid 00000000aae99ce8e3416a12db3c74d9
Sun Jun  7 10:02:45 2020: ^4Client ^0Clix 150.107.177.129:28960 ^4left this server from slot 1 with guid 00000000a184110c9b55af134d00dfdd
Sun Jun  7 10:03:31 2020: ^5Client Tiberius 39.41.190.93:28960 ^5entered this server in slot 1 with guid 0000000026d3972828f323e89cb9e561
